chapter,chapter_title,section_number,depth,name,short_name,aliases,slug,parent_name,icd10_codes,icd10_raw,review_flag,route,seed_action
1,Emergencies and Trauma,1.1.1,3,Anaphylactic Shock,,,anaphylactic-shock,,T78.2,T78.2,,chapters/01/1-01-01-anaphylactic-shock,seed
1,Emergencies and Trauma,1.1.2,3,Hypovolaemic Shock,,,hypovolaemic-shock,,R57.1,R57.1,,chapters/01/1-01-02-hypovolaemic-shock,seed
1,Emergencies and Trauma,1.1.2.1,4,Hypovolaemic Shock in Children,,,hypovolaemic-shock-in-children,Hypovolaemic Shock,,,no-code-in-source,chapters/01/1-01-02-01-hypovolaemic-shock-in-children,seed
1,Emergencies and Trauma,1.1.3,3,Dehydration,,,dehydration,,,,no-code-in-source,chapters/01/1-01-03-dehydration,seed
1,Emergencies and Trauma,1.1.3.1,4,Dehydration in Children under 5 years,,,dehydration-in-children-under-5-years,Dehydration,,,no-code-in-source,chapters/01/1-01-03-01-dehydration-in-children-under-5-years,seed
1,Emergencies and Trauma,1.1.3.2,4,Dehydration in Older Children and Adults,,,dehydration-in-older-children-and-adults,Dehydration,,,no-code-in-source,chapters/01/1-01-03-02-dehydration-in-older-children-and-adults,seed
1,Emergencies and Trauma,1.1.4,3,Fluids and Electrolytes Imbalances,,,fluids-and-electrolytes-imbalances,,E87.8,E87.8,,chapters/01/1-01-04-fluids-and-electrolytes-imbalances,seed
1,Emergencies and Trauma,1.1.4.1,4,IV Fluid Management in Children,,,iv-fluid-management-in-children,Fluids and Electrolytes Imbalances,E87.8,E87.8,,chapters/01/1-01-04-01-iv-fluid-management-in-children,seed
1,Emergencies and Trauma,1.1.5,3,Febrile Convulsions,,,febrile-convulsions,,R56,R56,,chapters/01/1-01-05-febrile-convulsions,seed
1,Emergencies and Trauma,1.1.6,3,Hypoglycaemia,,,hypoglycaemia,,E16.2,E16.2,,chapters/01/1-01-06-hypoglycaemia,seed
1,Emergencies and Trauma,1.2.1,3,Bites and Stings,,,bites-and-stings,,,,no-code-in-source,chapters/01/1-02-01-bites-and-stings,seed
1,Emergencies and Trauma,1.2.1.1,4,Snakebites,,,snakebites,Bites and Stings,,,no-code-in-source,chapters/01/1-02-01-01-snakebites,seed
1,Emergencies and Trauma,1.2.1.2,4,Insect Bites and Stings,,,insect-bites-and-stings,Bites and Stings,T63.4,T63.4,,chapters/01/1-02-01-02-insect-bites-stings,seed
1,Emergencies and Trauma,1.2.1.3,4,Animal and Human Bites,,,animal-and-human-bites,Bites and Stings,W50.3 W54.0,"W50.3, W54.0",,chapters/01/1-02-01-03-animal-and-human-bites,seed
1,Emergencies and Trauma,1.2.1.4,4,Rabies Post Exposure Prophylaxis,,,rabies-post-exposure-prophylaxis,Bites and Stings,Z20.3 Z23,"Z20.3, Z23",non-clinical-subject?,chapters/01/1-02-01-04-rabies-post-exposure-prophylaxis,skip
1,Emergencies and Trauma,1.2.1.5,4,Rabies Vaccine Schedules,,,rabies-vaccine-schedules,Bites and Stings,,,non-clinical-subject? no-code-in-source,chapters/01/1-02-01-05-rabies-vaccine-schedules,skip
1,Emergencies and Trauma,1.2.2,3,Fractures,,,fractures,,S00-T88,S00–T88,,chapters/01/1-02-02-fractures,seed
